content,explanation
अशोकस्तबकाङ्गारष्षट्पदस्वननिःस्वनः। मां हि पल्लवताम्रार्चिर्वसन्ताग्निः प्रधक्ष्यति।।4.1.29।।,"'The fire of spring with clusters of Asoka flowers as its charcoal, its coppercoloured tender leaves as flames, the buzz of bees as its crackle will, as if, consume me."
न हि तां सूक्ष्मपक्ष्माक्षीं सुकेशीं मृदुभाषिणीम्। अपश्यतो मे सौमित्रे जीवितेऽस्ति प्रयोजनम्।।4.1.30।।,"'O Saumitri my life is meaningless if I cannot see my beloved Sita with her delicate eyelashes, beautiful locks of hair and her sweet voice. "
अयं हि दयितस्तस्याः कालो रुचिरकाननः। कोकिलाकुलसीमान्तो दयिताया ममानघ।।4.1.31।।,"'O sinless one, the spring season is dear to my beloved Sita when the outskirts of the forest are filled with voices of the cockoo."
मन्मथाऽयाससम्भूतो वसन्तगुणवर्धितः। अयं मां धक्ष्यति क्षिप्रं शोकाग्निर्नचिरादिव।।4.1.32।।,"'The fire of grief ignited by Kandarpa (the god of love), enhanced by the effects of spring will certainly consume me soon."
अपश्यतस्तां दयितां पश्यतो रुचिरद्रुमान्। ममायमात्मप्रभवो भूयस्त्वमुपयास्यति।।4.1.33।।,"'Unable to see my beloved wife, the very sight of these lovely trees intensifies my love for her who shines resplendent in me."
अदृश्यमाना वैदेही शोकं वर्धयते मम। दृश्यमानो वसन्तश्च स्वेदसंसर्गदूषकः।।4.1.34।।,"'When in place of Vaidehi I see spring (with its cool breeze) that used to take away the sweat generated by sensual enjoyment, my sorrow is intensified."
मां ह्यद्य मृगशाबाक्षी चिन्ताशोकबलात्कृतम्। सन्तापयति सौमित्रे क्रूरश्चैत्रवनानिलः।।4.1.35।।,'O Saumitri the cruel breeze of the spring forest torments me as I am now immersed in grief in the absence of my fawneyed beloved.
अमी मयूराश्शोभन्ते प्रनृत्यन्तस्ततस्ततः। स्वैः पक्षैः पवनोद्धूतैर्गवाक्षैः स्फाटिकैरिव।।4.1.36।।,"'Delightful are the peacocks dancing here and there, their feathers looking like crystal windows flung open by the wind. "
शिखिनीभिः परिवृतास्ते एते मदमूर्छिताः। मन्मथाभिपरीतस्य मम मन्मथवर्धनाः।।4.1.37।।, 'The peacocks intoxicated with passion for the peahens surround them intensifying my longing (for Vaidehi).
पश्य लक्ष्मण नृत्यन्तं मयूरमुपनृत्यति। शिखिनी मन्मथार्तैषा भर्तारं गिरिसानुनि।।4.1.38।।,"'Look at the lovelorn peahen, excited by love, dancing on the moutain slope, O Lakshmana  Engrossed in love, she dances for wooing the peacock."
तामेव मन्मथाविष्टो मयूरोऽप्युपधावति। वितत्य रुचिरौ पक्षौ रुतैरुपहसन्निव।।4.1.39।।,"'Overwhelmed with love, the enchanted peacock, spreading his wings is running after her, making sounds, as though mocking her."
मयूरस्य वने नूनं रक्षसा न हृता प्रिया। तस्मान्नृत्यति रम्येषु वनेषु सह कान्तया।।4.1.40।।,"'The peacock's beloved, for sure, has not been abducted by the demon. Therefore, he is dancing in delight in the forest in the company of his beloved."
मम त्वयं विना वासः पुष्पमासे सुदुस्सहः। पश्य लक्ष्मण संरागः तिर्यग्योनिगतेष्वपि। यदेषा शिखिनी कामाद्भर्तारं रमतेऽन्तिके।।4.1.41।।,"'It is extremely unbearable for me to stay in the forest during this season of flowers (Spring). Look at the passion even among beasts and birds, O Lakshmana And craving for love, the peahen sports near her mate.   "
मामप्येवं विशालाक्षी जानकी जातसम्भ्रमा। मदनेनाभिवर्तेत यदि नाऽपहृता भवेत्।।4.1.42।।,"'Had the largeeyed Janaki not been stolen, she would have also paid advances to me in this manner with all her love and excitement."
पश्य लक्ष्मण पुष्पाणि निष्फलानि भवन्ति मे। पुष्पभारसमृद्धानां वनानां शिशिरात्यये।।4.1.43।।,
रुचिराण्यपि पुष्पाणि पादपानामतिश्रिया। निष्फलानि महीं यान्ति समं मधुकरोत्करैः।।4.1.44।।,"'The trees look enchanting with flowers in full bloom, with bees hovering over them. But the flowers fruitlessly drop down on the ground."
नदन्ति कामं शकुना मुदितास्सङ्घशः कलम्। आह्वयन्त इवान्योन्यं कामोन्मादकरा मम।।4.1.45।।,
वसन्तो यदि तत्रापि यत्र मे वसति प्रिया। नूनं परवशा सीता सापि शोचत्यहं यथा।।4.1.46।।," 'If spring reigns wherever my beloved Sita is, she must have been overwhelmed with similar sad feelings like me."
नूनं न तु वसन्तोऽतं देशं स्पृशति यत्र सा। कथं ह्यसितपद्माक्षी वर्तयेत्सा मया विना।।4.1.47।।,'Spring must not have touched the place where she is now staying. Otherwise how could my Sita with eyes like blue lotus live without me?
अथवा वर्तते तत्र वसन्तो यत्र मे प्रिया।किं करिष्यति सुश्रोणी सा तु निर्भर्त्सिता परैः।।4.1.48।।,"'Or, if there is spring where my beloved lives, what can that lady of beautiful hips do, threatened by enemies."
श्यामा पद्मपलाशाक्षी मृदुपूर्वाभिभाषिणी। नूनं वसन्तमासाद्य परित्यक्ष्यति जीवितम्।।4.1.49।।,"'Eager to speak with her gentle voice, my young beloved, blessed with eyes like lotus petals, will certainly give up her life, unable to enjoy the spring."
दृढं हि हृदये बुद्धिर्मम सम्परिवर्तते। नालं वर्तयितुं सीता साध्वी मद्विरहं गता।।4.1.50।।,'My mind makes me feel certain that Sita with her chastity might not be able to live separated from me.
मयि भावस्तु वैदेह्यास्तत्त्वतो विनिवेशितः। ममापि भावस्सीतायां सर्वथा विनिवेशितः।।4.1.51।।,'Sita has her love truly fixed in me. My love for her is equally steadfast.
एष पुष्पवहो वायुस्सुखस्पर्शो हिमावहः। तां विचिन्तयतः कान्तां पावकप्रतिमो मम।।4.1.52।।,"'This cool breeze that carries the fragrance of flowers, that is gentle in its touch feels like fire when I think about my beautiful beloved."
सदा सुखमहं मन्ये यं पुरा सह सीतया। मारुतस्स विना सीतां शोकं वर्धयते मम।।4.1.53।।,"'The pleasant touch of the wind, which made me happy in the company of Sita intensifies my grief now in her absence."
तां विना विहङ्गो यः पक्षी प्रणदितस्तदा। वायसः पादपगतः प्रहृष्टमभिनर्दति।।4.1.54।।,"'The crow that cried unhappily flying in the sky as if to foretell my separation from Sita, is now on the tree, singing joyfully (suggesting my possible union with Sita)."
एष वै तत्र वैदेह्या विहगः प्रतिहारकः। पक्षी मां तु विशालाक्ष्यास्समीपमुपनेष्यति।।4.1.55।।, 'The same crow attendant on Vaidehi there will take me to my largeeyed beloved.
शृणु लक्ष्मण सन्नादं वने मद्विवर्धनम्। पुष्पिताग्रेषु वृक्षेषु द्विजानामुपकूजताम्।।4.1.56।।,"'Losten, O Lakshmana to the sweet warblings of the birds on the blossoming treetops of the forest. My love for her (Sita) enhances with their sweet voices."
विक्षिप्तां पवनेनैतामसौ तिलकमञ्जरीम्। षट्पदस्सहसाऽभ्येति मदोद्धूतामिव प्रियाम्।।4.1.57।।,'This honeybee is eager to approach the bunch of tilaka flowers in bloom scattered by the wind like a lover advancing towards his passionate beloved.
कामिनामयमत्यन्तमशोकश्शोकवर्धनः। स्तबकैः पवनोत्क्षिप्तैस्तर्जयन्निव मां स्थितः।।4.1.58।।,'This asoka tree increases (by nature) the sorrow of lovers. Perhaps it make its presence felt in order to intimidate me with the clusters of its flowers scattered by the wind.
अमी लक्ष्मण दृश्यन्ते चूताः कुसुमशालिनः। विभ्रमोत्सिक्तमनसः साङ्गरागा नरा इव।।4.1.59।।,'O Lakshmana these mangotrees full of blossoms appear like sexited men who have applied fragrant unguents to their bodies.
सौमित्रे पश्य पम्पायाश्चित्रासु वनराजिषु। किन्नरा नरशार्दूल विचरन्ति ततस्ततः।।4.1.60।।,"'O Saumitri O' tiger among men look at the kinnaras wandering here and there, in the wonderful forest around the Pampa lake. "
इमानि शुभगन्धीनि पश्य लक्ष्मण सर्वशः। नलिनानि प्रकाशन्ते जले तरुणसूर्यवत्।।4.1.61।।,'O Lakshmana look at these lotuses with fine fragrance all over the water glowing like the rising Sun.
एषा प्रसन्नसलिला पद्मनीलोत्पलायुता। हंसकारण्डवाकीर्णा पम्पा सौगन्धिकान्विता।।4.1.62।।,'This Pampa with its water clear and fragrant with red and blue lotuses is filled with swans and geese.
जले तरुणसूर्याभैष्षट्पदाहतकेसरैः। पङ्कजैश्शोभते पम्पा समन्तादभिसंवृता।।4.1.63।।,'Lake Pampa shines with lotuses with bees on their filaments like the rising sun.
चक्रवाकयुता नित्यं चित्रप्रस्तवनान्तरा। मातङ्गमृगयूथैश्च शोभते सलिलार्थिभिः।।4.1.64।।,'Frequented by the Chakravakas and surrounded by the wonderful forest with thirsty elephants and deer this Pampa looks beautiful.
पवनाहतवेगाभिरूर्मिभिर्विमलेऽम्भसि। पङ्कजानि विराजन्ते ताड्यमानानि लक्ष्मण।।4.1.65।।,'O Lakshmana look at the lotuses in clear water dashing against one another due to waves caused by the force of the wind.
पद्मपत्रविशालाक्षीं सततं पङ्कजप्रियाम्। अपश्यतो मे वैदेहीं जीवितं नाभिरोचते।।4.1.66।।,"'Unable to see my beloved with eyes large like totus petals and an ardent lover of lotuses, I have no desire to live."
अहो कामस्य वामत्वं यो गतामपि दुर्लभाम्। स्मारयिष्यति कल्याणीं कल्याणतरवादिनीम्।।4.1.67।।,'Oh how adversly disposed is the god of love He makes me remember that auspicious lady with a pleasing voice when she is lost and difficult to reach.
शक्यो धारयितुं कामो भवेदभ्यागतो मया। यदि भूयो वसन्तो मां न हन्यात्पुष्पितद्रुमः।।4.1.68।।,"'If the spring that has set in, with the trees in bloom does not kill me, I have once again to endure the agony of love."
यानि स्म रमणीयानि तया सह भवन्ति मे। तान्येवारमणीयानि जायन्ते मे तया विना।।4.1.69।।,"'Whatever was endearing to me earlier in the company of Sita, has turned out to be disenchanting without her."
पद्मकोशपलाशानि द्रष्टुं दृष्टिर्हि मन्यते। सीताया नेत्रकोशाभ्यां सदृशानीति लक्ष्मण।।4.1.70।।,"'Seeing the delicate petals around the lotus buds that look like beautiful eyelids of Sita, my eyes crave for them O Lakshmana "
पद्मकेसरसंसृष्टो वृक्षान्तरविनिस्सृतः। निश्श्वास इव सीताया वाति वायुर्मनोहरः।।4.1.71।।,'The bleeze that blows through the trees carrying the fragrance of the filaments of lotuses feels pleasant like Sita's breath.
सौमित्रे पश्य पम्पाया दक्षिणे गिरिसानुनि। पुष्पितां कर्णिकारस्य यष्टिं परमशोभनाम्।।4.1.72।।,"'Look at the very spectacular karnikara tree with its blossmed branches on the mountain slope towards the southern side of Pampa, O Saumitri  "
अधिकं शैलराजोऽयं धातुभिः सुविभूषितः। विचित्रं सृजते रेणुं वायुवेगविघट्टितम्।।4.1.73।।,"'This king of mountains is rich with plenty of minerals and, therefore, generates multicoloured dust particles splattered by the speed of the wind."
गिरिप्रस्थास्तु सौमित्रे सर्वतस्सम्प्रपुष्पितैः। निष्पत्रैस्सर्वतो रम्यैः प्रदीप्ता इव किंशुकैः।।4.1.74।।,'O Saumitri With leafless kimsuka trees in full bloom all over the mountain ranges they appear beautiful like blazing mountains.
पम्पातीररुहाश्चेमे संसक्ता मधुगन्धिनः। मालतीमल्लिकाषण्डाः करवीराश्च पुष्पिताः।।4.1.75।।,"'Very closely grown on the banks of Pampa, stand malati, mallika and karavira trees with their clusters of fragrant blossoms."
केतक्यस्सिन्दुवाराश्च वासन्त्यश्च सुपुष्पिताः। माधव्यो गन्धपूर्णाश्च कुन्दगुल्माश्च सर्वशः।।4.1.76।।,"'Fully blossmed ketaka, sinduvara, madhavi and kunda bushes in spring scatter their fragrance everywhere."
चिरिबिल्वा मधूकाश्च वञ्जुला वकुलास्तथा।चम्पकास्तिलकाश्चैव नागवृक्षास्सुपुष्पिताः।।4.1.77।।नीपाश्च वरणाश्चैव खर्जूराश्च सुपुष्पिता। ,"'Chiribilva, madhuka, vanjula, bakula, champaka, tilaka and naga varana and kharjura trees are in full bloom."
पद्मकाश्चैव शोभन्ते नीलाशोकाश्च पुष्पिताः। लोध्राश्च गिरिपृष्ठेषु सिंहकेसरपिञ्जराः।।4.1.78।।,'Lotuses and blue asokas are also in bloom. Lodhra trees on the mountainslopes look golden like the lion's mane.
अङ्कोलाश्च कुरण्टाश्च चूर्णकाः पारिभद्रकाः। चूताः पाटलयश्चैव कोविदाराश्च पुष्पिताः।।4.1.79।।मुचुकुन्दार्जुनाश्चैव दृश्यन्ते गिरिसानुषु। केतकोद्दालकाश्चैव शिरीषाः शिंशुपा धवाः।।4.1.80।।,"'There are trees like ankola, kuranta, churnaka, paribhadraka, mango, patali, kovidara, muchukunda, arjuna, ketaka, uddalaka, shirisha, shimshupa and shava, all in full bloom on the mountain peaks."
शाल्मल्यः किंशुकाश्चैव रक्ताः कुरवकास्तथा।।4.1.81।।त्रिनिशा नक्तमालाश्च चन्दनास्स्यन्दनास्तथा। ,
पुष्पितान्पुष्पिताग्राभिर्लताभिः परिवेष्टितान्। द्रुमान्पश्येह सौमित्रे पम्पाया रुचिरान्बहून्।।4.1.8283।।,"'O Saumitri look at the beauty of these numerous flowering trees on the banks of Pampa, entwining creepers with blooming tops."
वातविक्षिप्तविटपान्यथाऽसन्नान्द्रुमानिमान्। लतास्समनुवर्तन्ते मत्ता इव वरस्त्रियः।।4.1.84।।,"'While the branches of trees swayed by the wind draw close, the creepers follow the trees like lovely women in a drunken state."
पादपात्पादपं गच्छन् शैलाच्छैलं वनाद्वनम्। वाति नैकरसास्वादस्सम्मोदित इवानिलः।।4.1.85।।,"'The wind blows from tree to tree, mountain to mountain, and forest to forest as though content to enjoy all the fragrance."
केचित्पर्याप्तकुसुमाः पादपा मधुगन्धिनः। केचिन्मुकुलसंवीताः श्यामवर्णा इवाबभुः।।4.1.86।।,'Some trees stood fragrant with profuse flowers and some with buds shining blue.
इदं मृष्टमिदं स्वादु प्रफुल्लमिदमित्यपि। रागयुक्तो मधुकरः कुसुमेष्वेव लीयते।।4.1.87।।,"'Fascinated by the flowers, the honeybees cling to one or the other, humming, 'this is soft, this is sweet, and this is fullyblossomed.'"
निलीय पुनरुत्पत्य सहसाऽन्यत्र गच्छति। मधुलुब्धो मधुकरः पम्पातीरद्रुमेष्वसौ।।4.1.88।।,"'The bees greedy for honey move among the trees on the banks of Pampa. Resting for a while, at one place they fly soon to another."
इयं कुसुमसङ्घातैरुपस्तीर्णा सुखाकृता। स्वयं निपतितैर्भूमिश्शयनप्रस्तरैरिव।।4.1.89।।,'With countless flowers fallen on their own from trees and scattered like a bed of flowers on stone the ground is rendered comfortable enough to relax on. 
विविधा विविधैः पुष्पैस्तैरेव नगसानुषु। विकीर्णै पीतरक्ताहि सौमित्रे प्रस्तराः कृताः।।4.1.90।।,"'O Saumitri varieties of colourful flowers, some red and some yellow, are spread out on the mountain slopes."
हिमान्ते पश्य सौमित्रे वृक्षाणां पुष्पसम्भवम्। पुष्पमासे हि तरवस्सङ्घर्षादिव पुष्पिताः।।4.1.91।।,"'Winter has ended and the season of flowers has set in, O Saumitri The trees are full of flowers as if competing with one another."
आह्वयन्त इवान्योन्यं नगाष्षट्पदनादिताः। कुसुमोत्तंसविटपाश्शोभन्ते बहु लक्ष्मण।।4.1.92।।,"'The trees, crowned with flowers filled with humming bees, look splendid. It appears they are calling one another, O Lakshmana "
एष कारण्डवः पक्षी विगाह्य सलिलं शुभम्। रमते कान्तया सार्धं काममुद्दीपयन्मम।।4.1.93।।,"'This duck, entering into auspicious water, sports with its beloved and incites my love."
मन्दाकिन्यास्तु यदिदं रूपमेवं मनोहरम्। स्थाने जगति विख्याता गुणास्तस्या मनोरमाः।।4.1.94।।,"'Only Ganga, like Pampa, has such captivating charm. Its beauty and virtues are famous in the world."
यदि दृश्येत सा साध्वी यदि चेह वसेमहि। स्पृहयेयं न शक्राय नायोध्यायै रघूत्तम।।4.1.95।।,"'O Lakshmna, the best of the Raghu race, if only that chaste Sita appears, we will stay here. I will not wish for the position of Indra or for Ayodhya."
नह्येवं रमणीयेषु शाद्वलेषु तया सह। रमतो मे भवेच्चिन्ता न स्पृहाऽन्येषु वा भवेत्।।4.1.96।।,"'If I can sport with Sita in this beautiful green grassy land, I will not have any worry, I would not desire for any other pleasure."
अमी हि विविधैः पुष्पैस्तरवो रुचिरच्छदाः। काननेऽऽस्मिन्विना कान्तां चिन्तामुत्पादयन्ति मे।।4.1.97।।,'These trees with their beautiful leaves and varieties of flowers bring me agony as I live in this forest separated from my beloved.
पश्य शीतजलां चेमां सौमित्रे पुष्करायुताम्। चक्रवाकानुचरितां कारण्डव निषेविताम्।।4.1.98।।,"'O Saumitri look at this lake of cool water filled with, lotuses, chakravakas flying about and ducks floating."
प्लवैः क्रौञ्चैश्च सम्पूर्णां महामृगनिषेविताम्। अधिकं शोभते पम्पा विकूजद्भिःर्विहङ्गमैः।।4.1.99।।दीपयन्तीव मे कामं विविधा मुदिता द्विजाः। श्यामां चन्द्रमुखीं स्मृत्वा प्रियां पद्मनिभेक्षणाम्।।4.1.100।।,"Pampa, filled with swimming, kraunchas and frequented by big animals looks splendid. The joyous warbling of a variety of birds is highly exciting. They kindle my passion for my young, Moonfaced, lotus eyed beloved."
पश्य सानुषु चित्रेषु मृगीभिस्सहितान्मृगान्। मां पुनर्मृगशाबाक्ष्या वैदेह्या विरहीकृतम्।।4.1.101।।व्यथयन्तीव मे चित्तं सञ्चरन्तस्ततस्ततः। ,"Look at the (male) deer happily roaming here and there together with the female deer on the colourful mountain slopes. Separated from the fawneyed Vaidehi, this sight fills my heart with agony."
अस्मिन्सानुनि रम्ये हि मत्तद्विजगणायुते। पश्येयं यदि तां कान्तां ततस्स्वस्ति भवेन्मम।।4.1.102।।,'If I find my dear beloved here on these mountain slopes full of passionate birds how happy will I not feel
जीवेयं खलु सौमित्रे मया सह सुमध्यमा। सेवते यदि वैदेही पम्पायाः पवनं सुखम्।।4.1.103।।, 'O Saumitri I can be alive and happy if Sita of slender waist enjoys here with me the sweet breeze of Pampa.
पद्मसौगन्धिकवहं शिवं शोकविनाशनम्। धन्या लक्ष्मण सेवन्ते पम्पोपवनमारुतम्।।4.1.104।।,'O Lakshmana blessed are those who enjoy the breeze filled with fragrance of lotuses of the surrounding forests of Pampa. The gentle and auspicious breeze indeed takes away the sorrow of the mind.
श्यामा पद्मपलाशाक्षी प्रिया विरहिता मया। कथं धारयति प्राणान्विवशा जनकात्मजा।।4.1.105।।,"'How can Janaka's daughter with eyes like lotus petals, so young and loving, sustain her life? Away from me, she must be feeling quite dejected."
किन्नु वक्ष्यामि राजानं धर्मज्ञं सत्यवादिनम्। सीताया जनकं पृष्टः कुशलं जनसंसदि।।4.1.106।।,"'If righteous and truthful Janaka enquires about Sita's wellbeing in the assembly of people, what am I to speak ?"
या मामनुगता मन्दं पित्रा प्रव्राजितं वनम्। सीता सत्पथमास्थाय क्व नु सा वर्तते प्रिया।।4.1.107।।,
तया विहीनः कृपणः कथं लक्ष्मण धारये। या मामनुगता राज्याद्भ्रष्टं विगतचेतसम्।।4.1.108।।,"'She followed me, O Lakshmana  as I was deposed from the kingdom and distraught. Now helpless, how can I live without her?"
तच्चार्वञ्चितपद्माक्षं सुगन्धि शुभमव्रणम्। अपश्यतो मुखं तस्यास्सीदतीव मनो मम।।4.1.109।।,"'Unable to see her beautiful, face with auspicious eyes like fragrant lotuses, I feel (so) depressed."
स्मितहास्यान्तरयुतं गुणवन्मधुरं हितम्। वैदेह्या वाक्यमतुलं कदा श्रोष्यामि लक्ष्मण।।4.1.110।।,"'When can I listen to Sita's sweet, wholesome and virtuous, incomparable words interlaced with her gentle smile, O Lakshmana?"
प्राप्य दुखं वने श्यामा मां मन्मथविकर्शितम्। नष्टदुःखेव हृष्टेव साध्वी साध्वभ्यभाषत।।4.1.111।।,My young and faithful beloved used to put up a brave face and speak to me in all propriety to cheer me up in the midst of suffering in the forest whenever I felt tormented by passion.
किं नु वक्ष्यामि कौसल्यामयोध्यायां नृपात्मज। क्व सा स्नुषेति पृच्छन्तीं कथं चापि तु मनस्विनीम्।।4.1.112।।,"'O Prince, what can I tell the highminded Kausalya at Ayodhya when she asks the whereabouts of her daughterinlaw'?"
गच्छ लक्ष्मण पश्य त्वं भरतं भ्रातृवत्सलम्। न ह्यहं जीवितु शक्तस्तामृते जनकात्मजाम्।।4.1.113।।,"'You may go to Ayodhya, O Lakshmana, to see our loving brother, Bharata. It is not possible for me to survive without the daughter of Janaka'. "
इति रामं महात्मानं विलपन्तमनाथवत्। उवाच लक्ष्मणो भ्राता वचनं युक्तमव्ययम्।।4.1.114।।,"Thus spoke Lakshmana these befitting, unforgettable words to his hissouled brother, Rama wailing like an orphan:"
संस्तम्भ राम भद्रं ते मा शुचः पुरुषोत्तम। नेदृशानां मतिर्मन्दा भवत्यकलुषात्मनाम्।।4.1.115।।,"'O Rama, the foremost of men, control yourself. Be blessed. People who are pure at heart do not feel depressed at heart."
स्मृत्वा वियोगजं दुःखं त्यज स्नेहं प्रिये जने। अतिस्नेहपरिष्वङ्गाद्वर्तिरार्द्रापि दह्यते।।4.1.116।।,'Remembrance of loved ones causes sorrow. Even a wet cotton wick gets burnt by embracing excessive oil. Hence abandon grief.
