content,explanation
निभृत स्संवृताकारो गुप्तमन्त्र स्सहायवान्।अमोघक्रोधहर्षश्च त्यागसंयमकालवित्।।2.1.23।।,He (Rama) was modest and did not reveal his inner feelings. He counselled in secrecy and had good friends. Never was his anger or pleasure in vain. He knew the occasion  when to sacrifce and when to exercise restraint. 
दृढभक्ति स्स्थिरप्रज्ञो नासद्ग्राही न दुर्वचाः।निस्तन्द्रिरप्रमत्तश्च स्वदोषपरदोषवित्।।2.1.24।।,He was firm in his devotion and steady in intellect. He accepted nothing ignoble nor used bad words. He was not swayed by emotions or prone to idleness. He knew his faults as well as of others. 
शास्त्रज्ञश्च कृतज्ञश्च पुरुषान्तरकोविदः।यः प्रग्रहानुग्रहयोर्यथान्यायं विचक्षणः।।2.1.25।।,He was versed in scriptures. He was grateful (to those who did him some good) and skilled in differentiating the comparative merits of men. Fair in his judgement he dispensed justice in accordance with law by reprimanding (the delinquent) and favouring (the honest).
सत्सङ्ग्रहप्रग्रहणे स्थानविन्निग्रहस्य च।आयकर्मण्युपायज्ञ स्सन्दृष्टव्ययकर्मवित्।।2.1.26।।, He was skilled in  receiving and encouraging the righteous and in punishing (the wicked). He knew  whom to punish. He knew the right means of raising revenue and also expending money in the prescribed manner.
श्रैष्ठ्यं शास्त्रसमूहेषु प्राप्तो व्यामिश्रकेषु च।अर्थधमौ च सङ्गृह्य सुखतन्त्रो न चालसः।।2.1.27।।,"He obtained proficiency in scriptures and interconnected (mutually contradictory) branches of learning. Only after having grasped the (philosophy of) artha (statecraft) and dharma (righteousness), he sought pleasure. He was never indolent."
वैहारिकाणां शिल्पानां विज्ञाताऽऽर्थविभागवित्।आरोहे विनये चैव युक्तो वारणवाजिनाम्।।2.1.28।।, He had understanding of art and craft useful for entertainment. He knew proper  ways of dispensing wealth. He was experienced in riding elephants and horses and in humbling them.
धनुर्वेदविदां श्रेष्ठो लोकेऽतिरथसम्मतः।अभियाता प्रहर्ता च सेनानयविशारदः।।2.1.29।।,"He was the best among those skilled in archery in this world. He was reckoned as a great wielder of warchariots and one who strikes at the enemies by advancing towards them. He was an expert in commanding troops. (Atiratha is an excellent warrior who can manage his chariot, horses and the charioteer.) "
"अप्रधृष्यश्च सङ्ग्रामे क्रुध्दैरपि सुरासुरैः।

अनसूयो जितक्रोधो न दृप्तो न च मत्सरी।

न चावमन्ता भूतानां न च कालवशानुगः।।।2.1.30।।","
He was incapable of being repressed even by the enraged devatas or rakshasas in the battle. He was free from envy and had subdued his anger and pride. He was never malicious and he never slighted any living being nor did he bow to the pressure of time."
एवं श्रेष्ठगुणैर्युक्तः प्रजानां पार्थिवात्मजः।सम्मतस्त्रिषु लोकेषु वसुधायाः क्षमागुणैः।।2.1.31।।बुद्ध्या बृहस्पतेस्तुल्यो वीर्येणापि शचीपतेः।,"Thus endowed with such excellent qualities, the subjects in the three worlds held him in high esteem. In forbearance he was like the earth, in wisdom like Brihaspati and in prowess like the consort of Sachi (Indra)."
तथा सर्वप्रजाकान्तैः प्रीतिसंजननैः पितुः।।2.1.32।।गुणैर्विरुरुचे रामो दीप्तस्सूर्य इवांशुभिः।,Rama whose virtues were cherished by all his subjects was a source of delight to his father and he shone like the rays of the resplendent Sun.
तमेवं व्रतसम्पन्नमप्रधृष्यपराक्रमम्।।2.1.33।।लोक पालोपमं नाथमकामयत मेदिनी।,"The earth desired him as her lord, for he was bestowed with such avowed virtues and with indomitable prowess equal to all the guardians of the quarters."
एतैस्तु बहुभिर्युक्तं गुणैरनुपमैस्सुतम्।।2.1.34।।दृष्ट्वा दशरथो राजा चक्रे चिन्तां परन्तपः।,"Observing his son endowed with such innumerable and incomparable virtues, king Dasaratha, subduer of enemies started thinking."
"अथ राज्ञो बभूवैवं वृद्धस्य चिरजीविनः।।2.1.35।।

प्रीतिरेषा कथं रामो राजा स्यान्मयि जीवति।
 ","
Thereafter, flashed in the mind of that aged king who had (already) lived long this pleasant thought as to how Rama will become king while he was alive."
एषा ह्यस्य परा प्रीतिर्हृदि संपरिवर्तते।।2.1.36।।कदा नाम सुतं द्रक्ष्याम्यभिषिक्तमहं प्रियम्।,The thought of seeing his dear son coronated repeatedly surfaced his mind so great was his affection (for Rama).
वृद्धिकामो हि लोकस्य सर्वभूतानुकम्पनः।।2.1.37।।मत्तः प्रियतरो लोके पर्जन्य इव वृष्टिमान्।, (He said to himself) 'his (Rama's) only desire is to promote the prosperity of this world. He is one who shows compassion to all beings and is like the raingod dearer than me to the people of the world'.
यमशक्रसमो वीर्ये बृहस्पतिसमो मतौ।।2.1.38।।महीधरसमो धृत्यां मत्तश्च गुणवत्तरः।,"'In prowess he is equal to Yama and Indra,in wisdom to Brihaspati and in firmness to a mountain and in virtues greater than me'."
महीमहमिमां कृत्स्नामधितिष्ठन्तमात्मजम्।।2.1.39।।अनेन वयसा दृष्ट्वा यथास्वर्गमवाप्नुयाम्।,"'Seeing my son ruling this entire dominion of the earth, I will experience the bliss of attaining heaven at this age.'"
इत्येतैर्विविधैस्तैस्तैरन्यपार्थिवदुर्लभैः।।2.1.40।।शिष्टैरपरिमेयैश्च लोके लोकोत्तरैर्गुणैः।तं समीक्ष्य महाराजो युक्तं समुदितैश्शुभैः।।2.1.41।।निश्चित्य सचिवैस्सार्धं युवराजममन्यत।,"King Dasaratha in consultation with his ministers observed that Rama is endowed  with various virtues not found in other kings, immeasurable virtues which are praiseworthy, and exemplary. He is distinguished in this world as all qualities seem to have merged in him. The king then made up his mind to make him princeregent. "
दिव्यन्तरिक्षे भूमौ च घोरमुत्पातजं भयम्।।2.1.42।।स़ञ्चचक्षेऽथ मेधावी शरीरे चात्मनो जराम्।,"The sagacious king, too perceived his body ageing and the portentous omens in the heaven, in the sky and on the earth causing dreadful concern."
पूर्णचन्द्राननस्याथ शोकापनुदमात्मनः।।2.1.43।।लोके रामस्य बुबुधे सम्प्रियत्वं महात्मनः।,The king realised afterwards that his grief would be dispelled if noble Rama whose countenance resembled the full moon and who was a favourite of the people is crowned.
आत्मनश्च प्रजानां च श्रेयसे च प्रियेण च।।2.1.44।।प्राप्तकालेन धर्मात्मा भक्त्या त्वरितवान् नृपः।,"Longing for it, the noble king realized that the time was ripe for the acceleration of the process of safeguarding his own and his subjects' welfare."
"नानानगरवास्तव्यान्पृथग्जानपदानपि।।2.1.45।।

समानिनाय मेदिन्याः प्रधानान्पृथिवीपतीन्।
 ","
He summoned individually kings and all important citizens residing in various cities and villages of this earth."
न तु केकयराजानं जनकं वा नराधिपः।।2.1.46।।त्वरया चानयामास पश्चात्तौ श्रोष्यतः प्रियम्।,The king did not invite both the kings of Kekaya and Janaka  in  haste with an  intention that they would hear the glad news at a later date.  
तान्वेश्मनानाभरणैर्यथाऽर्हं प्रतिपूजितान्।।2.1.47।।ददर्शालङ्कृतो राजा प्रजापतिरिव प्रजाः।,The king who received them in a befitting manner and provided them with residence and ornaments looked like lord Brahma adorned by the people.
अथोपविष्टे नृपतौ तस्मिन्परबलार्दने।।2.1.48।।ततः प्रविविशु श्शेषा राजानो लोकसम्मताः।,"After the king (Dasaratha) who was a tormenter of enemy forces was seated, the rest of the kings beloved of their subjects entered (the assembly hall)."
अथ राजवितीर्णेषु विविधेष्वासनेषु च।।2.1.49।।राजानमेवाभिमुखाः निषेदुर्नियता नृपाः।,"Then  the kings (who entered the assembly) took the seats assigned to them facing the king (Dasaratha), following the royal tradition."
सलब्धमानैर्विनयान्वितैर्नृपैःपुरालयैर्जानपदैश्च मानदैः।   उपोपविष्टैर्नृपतिर्वृतो बभौसहस्रचक्षुर्भगवानिवामरैः।।2.1.50।।,"Surrounded by those feudatory kings endowed with modesty, and received with due honour and by the respectful residents of cities and villages, the king (Dasaratha), resembled lord Indra, the thousand eyed encircled by the gods.इत्यार्षे श्रीमद्रामायणे वाल्मीकीय आदिकाव्ये अयोध्याकाण्डे प्रथमस्सर्गः।Thus ends the first sarga of Ayodhyakanda of the holy Ramayana, the first epic composed by sage Valmiki."
[Dasaratha commends to the assembly of elders and counsellors for installation of Rama as Prince Regent-- Assembly approves the proposal of Dasaratha with delight describing the virtues of Rama in support of their approval.]ततः परिषदं सर्वामामन्त्र्य वसुधाधिपः।हितमुद्धर्षणं चैवमुवाच प्रथितं वचः।।2.2.1।।," Thereafter, the lord of the earth (king Dasaratha) addressed the entire assembly of  invitees. He spoke these pleasing words aimed at their welfare which thrilled and delighted the hearts (of the assembled kings): "
दुन्दुभिस्वनकल्पेन गम्भीरेणानुनादिना।स्वरेण महता राजा जीमूत इव नादयन्।।2.2.2।।राजलक्षणयुक्तेन कान्तेनानुपमेन च।उवाच रसयुक्तेन स्वरेण नृपतिर्नृपान्।।2.2.3।।,"Lord of men (king Dasaratha) addressed the feudatory kings with words deep, resonant, loud like the kettledrum or the rumbling cloud, in a delightful, incomparable and attractive voice that carried all the dignity of royalty:"
विदितं भवतामेतद्यथा मे राज्यमुत्तमम्।पूर्वकैर्मम राजेन्द्रैस्सुतवत्परिपालितम्।।2.2.4।।,"It is wellknown to all of you that people of this greatest kingdom were ruled by my predecessors who were great kings, who looked after the subjects as though they were their own children. "
सोऽहमिक्ष्वाकुभि स्सर्वैर्नरेन्द्रैः परिपालितम्।श्रेयसा योक्तुकामोऽस्मि सुखार्हमखिलं जगत्।।2.2.5।।, I desire to  accomplish the welfare of this entire world which deserves the happiness brought about by the rule of all the Ikshvaku kings.
मयाप्याचरितं पूर्वैः पन्थानमनुगच्छता।प्रजा नित्यमनिद्रेण यथाशक्त्यभिरक्षिताः।।2.2.6।।,Following the path of my forefathers I protected the people to the best of my ability by being ever vigilant.
इदं शरीरं कृत्स्नस्य लोकस्य चरता हितम्।पाण्डुरस्याऽतपत्रस्यच्छायायां जरितं मया।।2.2.7।।,My body has attained old age after ruling the entire world ensuring the welfare of the people under the shade of royal white parasol.
प्राप्य वर्षसहस्राणि बहून्यायूंषि जीवतः।जीर्णस्यास्य शरीरस्य विश्रान्तिमभिरोचये।।2.2.8।।,Having lived for thousands of years this body is now worn out  due to old age and therefore I want rest.
राजप्रभावजुष्टां हि दुर्वहामजितेन्द्रियैः।परिश्रान्तोऽस्मि लोकस्य गुर्वीं धर्मधुरं वहन्।।2.2.9।।,"I am weary of carrying on the heavy burden of duty and find it difficult to sustain the rule of dharma. It can be shouldered by those who have royal qualities (of might, courage etc) and not by those who have not controlled their senses."
सोऽहं विश्रममिच्छामि पुत्रं कृत्वा प्रजाहिते।सन्निकृष्टानिमान्सर्वाननुमान्य द्विजर्षभान्।।2.2.10।।,"Therefore, after convincing all of you, the best of (learned) brahmins present here, I intend to take rest by installing my son to look after the welfare of the people. "
अनुजातो हि मां सर्वैर्गुणैर्ज्येष्ठो ममात्मजः।पुरन्दरसमो वीर्ये रामः परपुरञ्जयः।।2.2.11।।,"   My eldest son Rama, inheriting every virtue of mine, is a conqueror of enemy cities  and is equal to Indra in prowess."
तं चन्द्रमिव पुष्येण युक्तं धर्मभृतां वरम्।यौवराज्ये नियोक्ताऽस्मि प्रीतः पुरुषपुङ्गवम्।।2.2.12।।,"I propose to install him (Rama), foremost among upholders of righteousness and the best of men who resembles the Moon in brightness when in conjunction with Pushya star, as heirapparent to the throne."
अनुरूपस्स वै नाथो लक्ष्मीवान् लक्ष्मणाग्रजः।त्रैलोक्यमपि नाथेन येन स्यान्नाथवत्तरम्।।2.2.13।।,"With him (Rama) as ruler, all the three worlds will also have a better protector.That elder brother of Lakshmana with signs of greatness is certainly the most befitting to rule this kingdom. "
अनेन श्रेयसा सद्यस्संयोज्यैवमिमां महीम्।गतक्लेशो भविष्यामि सुते तस्मिन्निवेश्य वै।।2.2.14।।,I shall be relieved of my anxiety  by entrusting the land (ruled by me) to my son (Rama) without any more delay and thus ensure the continued welfare of this world. 
यदिदं मेऽनुरूपार्थं मया साधु सुमन्त्रितम्।भवन्तो मेऽनुमन्यन्तां कथं वा करवाण्यहम्।।2.2.15।।," Although it (this decision) is personally favourable to me and I have decided after seeking good counsel, you should also give me your consent and tell me what I should do."
यद्यप्येषा मम प्रीतिर्हितमन्यद्विचिन्त्यताम्।अन्या मध्यस्थचिन्ता हि विमर्दाभ्यधिकोदया।।2.2.16।।,"Although this is what I would like to do, please suggest alternative ways of achieving the welfare (of this kingdom). Deliberations by the unbiased (on this issue) may bring good."
इति ब्रुवन्तं मुदिताः प्रत्यनन्दन्नृपा नृपम्।वृष्टिमन्तं महामेघं नर्दन्त इव बर्हिणः।।2.2.17।।,"Having thus heard king Dasaratha speak, the kings acclaimed him with delight, like peacocks crying (in joy) to see thick clouds."
स्निग्धोऽनुनादी संजज्ञे तत्र हर्षसमीरितः।जनौघोद्घुष्टसन्नादो विमानं कम्पयन्निव।।2.2.18।।,There emanated cries of love and joy from the multitude of people (conveying their approval) whose reverberation seemed to shake the palace.
तस्य धर्मार्थविदुषो भावमाज्ञाय सर्वशः।ब्राह्मणा जनमुख्याश्च पौरजानपदै स्सह।।2.2.19।।समेत्य मन्त्रयित्वा तु समतागतबुद्धयः।ऊचुश्च मनसा ज्ञात्वा वृद्धं दशरथं नृपम्।।2.2.20।।," Brahmins, kings and other prominent men, inhabitants of towns and villages  having  fully known the views of Dasaratha who was conversant with artha and dharma  joined together and deliberated. They thought out well and having arrived at unanimity in their thinking thus addressed the aged king Dasaratha."
अनेकवर्षसाहस्रो वृद्धस्त्वमसि पार्थिव।स रामं युवराजानमभिषिञ्चिस्व पार्थिवम्।।2.2.21।।,"O mighty king, you have grown many thousands of years old. Therefore, you should coronate Rama as prince regent of this kingdom."
इच्छामो हि महाबाहुं रघुवीरं महाबलम्।गजेन महताऽयान्तं रामं छत्रावृताननम्।।2.2.22।।,"We cherish to see the mightyarmed hero among the Raghus, Rama, riding on a majestic elephant, his countenance shadowed by the royal parasol."
इति तद्वचनं श्रुत्वा राजा तेषां मनःप्रियं।अजानन्निव जिज्ञासुरिदं वचनमब्रवीत्।।2.2.23।।,"Having heard them king Dasaratha, pretending as though he was not aware of their heart's desire but was now wishing to ascertain it, spoke these words:"
श्रुत्वैव वचनं यन्मे राघवं पतिमिच्छथ।राजान स्संशयोऽयं मे किमिदं ब्रूत तत्त्वतः।।2.2.24।।,"O kings, soon after listening to my words, all of you wish Rama to be king. (But) I doubt (in my mind) whether you have said it from your heart৷৷"
कथं नु मयि धर्मेण पृथिवीमनुशासति।भवन्तो द्रष्टुमिच्छन्ति युवराजं ममात्मजम्।।2.2.25।।,When the earth is being ruled righteously by me why indeed you intend to see my son as prince regent?
ते तमूचुर्महात्मानं पौरजानपदैस्सह।बहवो नृप कल्याणा गुणाः पुत्रस्य सन्ति ते।।2.2.26।।,"Those kings along with the inhabitants of towns and villages answered the  magnanimous king: O king your son, indeed has many auspicious and admirable  virtues."
गुणान् गुणवतो देव देवकल्पस्य धीमतः।प्रियानानन्दनान्कृत्स्नान्प्रवक्ष्यामोऽद्य तान् शृणु।।2.2.27।।," O king, we shall now speak about those great virtues of the sagacious (Rama). Comparable to those of the gods, they are dear and a source of delight for every one. Please listen."
दिव्यैर्गुणैश्शक्रसमो रामस्सत्यपराक्रमः।इक्ष्वाकुभ्योऽपि सर्वेभ्यो ह्यतिरिक्तो विशांपते।।2.2.28।।,Lord of the people Rama with his divine virtues is equal to Indra. He with his  proven valour is exceptional among all the descendents of the Iksvakus.
राम स्सत्पुरुषो लोके सत्यधर्मपरायणः।साक्षाद्रामाद्विनिर्वृत्तो धर्मश्चापि श्रिया सह।।2.2.29।।,Devoted to truth and righteousness Rama is the most venerable among men in this world. Even righteousness along with prosperity flows directly from Rama.
प्रजासुखत्त्वे चन्द्रस्य वसुधायाः क्षमागुणैः।बुद्ध्या बृहस्पतेस्तुल्यो वीर्ये साक्षाच्छचीपतेः।।2.2.30।।,"He is equal to the Moon in causing happiness to the people, to the earth in forbearance, to Brihaspati in wisdom and to Indra in prowess."
धर्मज्ञ स्सत्यसन्धश्च शीलवाननसूयकः।क्षान्त स्सान्त्वयिता श्लक्ष्णः कृतज्ञो विजितेन्द्रियः।।2.2.31।।,"Rama knows the ways of righteousness. He is true to his word and free from envy. He possesses a sound character with forbearance, gentleness and a sense of gratitude. With his senses under control, he is a source of consolation (in stressful times)."
मृदुश्च स्थिरचित्तश्च सदा भव्योऽनसूयकः।प्रियवादी च भूतानां सत्यवादी च राघवः।।2.2.32।।बहुश्रुतानां वृद्धानां ब्राह्मणानामुपासिता।तेनास्येहाऽतुला कीर्तिर्यशस्तेजश्च वर्धते।।2.2.33।।,"This son of the Raghus (Rama) is softspoken, steadfast, always serene, truthful and  free from envy. He is pleasing to all beings. He serves those elderly brahmins versed in many lores. With these virtues his incomparable glory, fame and splendour have steadily grown."
देवासुरमनुष्याणां सर्वास्त्रेषु विशारदः।सम्यग्विद्याव्रतस्नातो यथावत्साङ्गवेदवित्।।2.2.34।।,"He is an expert in wielding all kinds of weapons available to devas, asuras and  men. He has achieved mastery over all sciences and has appropriately acquired knowledge of the Vedas and its ancillary sciences."
गान्धर्वे च भुवि श्रेष्ठो बभूव भरताग्रजः।कल्याणाभिजन स्साधुरदीनात्मा महामतिः।।2.2.35।।,"This elder brother of Bharata is the greatest exponent in music on earth. Pious, sagacious, free from meanness, he is of noble descent."
द्विजैरभिविनीतश्च श्रेष्ठैर्धर्मार्थनैपुणैः।यदा व्रजति सङ्ग्रामं ग्रामार्थे नगरस्य वा।।2.2.36।।गत्वा सौमित्रिसहितो नाऽविजित्य निवर्तते।,"Whenever he, wellinstructed in all matters by the best of brahmins wellversed in dharma and artha proceeds along with Lakshmana to wage a war for the sake of a village or a town, he never returns without conquering the enemy."
सङ्ग्रामात्पुनरागम्य कुञ्जरेण रथेन वा।2.2.37।।पौरान् स्वजनवन्नित्यं कुशलं परिपृच्छति।।पुत्रेष्वग्निषु दारेषु प्रेष्यशिष्यगणेषु च।2.2.38।।निखिलेनानुपूर्व्याच्च पितापुत्रानिवौरसान्।।,"While returning from the battlefield, either on a chariot or an elephant Rama stops and  enquires in detail and in order, the welfare of the citizens as he would do for his kith and kin. He enquires about the welfare of their children, sacred  rituals, wives, their servants and disciples as a father would enquire of his sons."
शुश्रूषन्ते च व श्शिष्याः कच्चित्कर्मसु दंशिताः।।2.2.39।।इति नः पुरुषव्याघ्र स्सदा रामोऽभिभाषते।,"Rama, a tiger among men, always enquires whether our disciples discharge their duties."
व्यसनेषु मनुष्याणां भृशं भवति दुःखितः।।2.2.40।।उत्सवेषु च सर्वेषु पितेव परितुष्यति।,He grieves profoundly whenever people are afflicted by misfortunes (and) rejoices like a father on festive occasions.  
सत्यवादी महेष्वासो वृद्धसेवी जितेन्द्रियः।।2.2.41।।स्मितपूर्वाभिभाषी च धर्मं सर्वात्मना श्रितः।,".He is one who speaks the truth. He is a great archer, one who has conquered his senses and serves the aged. He speaks with a  smile and protects dharma with all his heart. "
सम्यग्योक्ता श्रेयसां च न विगृह्य कथारुचिः।।2.2.42।।उत्तरोत्तरयुक्तौ च वक्ता वाचस्पतिर्यथा।,He helps those who take refuge in him. He is not  interested in conversation leading to  dissentions. But during debates he is eloquent like Brihaspati (establing the truth on the basis of reasoning).
सुभ्रूरायत ताम्राक्ष स्साक्षाद्विष्णुरिव स्वयम्।।2.2.43।।रामो लोकाभिरामोऽयं शौर्यवीर्यपराक्रमैः।,"Rama, who is the source of delight to the world, has charming eyebrows and large coppercoloured eyes. He is endowed with heroism, bravery and valour like Visnu manifested."
प्रजापालनतत्त्वज्ञो न रागोपहतेन्द्रियः।।2.2.44।।शक्तस्त्रैलोक्यमप्येको भोक्तुं किन्नु महीमिमाम्।,"He is proficient in the ways and means of ruling the people. His senses are not overpowered by passion. He alone is capable of ruling the three worlds, what to speak the earth"
नास्य क्रोधः प्रसादश्च निरर्थोऽस्ति कदाचन।।2.2.45।।हन्त्येव नियमाद्वध्यानवध्ये न च कुप्यति।,His anger or favour never goes in vain. He kills those who rightly deserve to be killed  and flares not at those whose life is to be spared.
युनक्त्यर्थैः प्रहृष्टश्च तमसौ यत्र तुष्यति।।2.2.46।।शान्तै स्सर्वप्रजाकान्तैः प्रीतिसञ्जननैर्नृणाम्।गुणैर्विरुरुचे रामो दीप्त स्सूर्य इवांशुभिः।।2.2.47।।,"When pleased, Rama bestows wealth. Like the Sun shining with his rays, He shines  with his qualities of tranquil, charming and loving nature."
तमेवंगुणसम्पन्नं रामं सत्यपराक्रमम्।लोकपालोपमं नाथमकामयत मेदिनी।।2.2.48।।,"The earth desired to have Rama, richly endowed with such virtues, possessing proven  prowess, comparable to Indra and other regents of the world, as her lord."
वत्सश्श्रेयसि जातस्ते दिष्ट्याऽसौ तव राघव।दिष्ट्या पुत्रगुणैर्युक्तो मारीच इव काश्यपः।।2.2.49।।,"O son of the Raghus (Dasaratha), because of  your good  fortune that Rama, endowed with the qualities of an ideal son like Kasyapa to Maricha was born to you for the welfare of this world."
बलमारोग्यमायुश्च रामस्य विदितात्मनः।देवासुरमनुष्येषु सगन्धर्वोरगेषु च।।2.2.50।।आशंसते जनस्सर्वो राष्ट्रे पुरवरे तथा।आभ्यन्तरश्च बाह्यश्च पौरजानपदो जनः।।2.2.51।।,"Gandharvas, uragas, devas, asuras, the inhabitants of towns and villages, all men living  in neighbouring or distant regions are wish the illustrious Rama strength, health and long life."
स्त्रियो वृद्धास्तरुण्यश्च सायं प्रातस्समाहिताः।सर्वान् देवान् नमस्यन्ति रामस्यार्थे यशस्विनः।।2.2.52।।,"Women, young and old alike devoutly invoke at dusk and at dawn all the gods for the sake of the celebrated Rama."
तेषामायाचितं देव त्वत्प्रसादात्समृद्ध्यताम्।राममिन्दीवरश्यामं सर्वशत्रुनिबर्हणम्।।2.2.53।।पश्यामो यौवराज्यस्थं तव राजोत्तमात्मजम्।,O Lord let the peoples' prayer be fulfilled by your blessings. We would like to see your son Rama of the complexion of a bluelotus and destroyer of enemies as prince regent.
