content,explanation
स चचालाचलश्चापि मुहूर्तं कपिपीडितः।तरूणां पुष्पिताग्राणां सर्वं पुष्पमशातयत्।।5.1.12।।,"Pressed firmly by Hanuman, the mountain was shaken for a moment which caused the flowers to drop down from the tree tops."
तेन पादपमुक्तेन पुष्पौघेण सुगन्धिना।सर्वतः संवृतः शैलो बभौ पुष्पमयो यथा।।5.1.13।।," With heaps of flowers full of fragrance fallen down from the trees all over the mountain, it looked as though it was a mountain of flowers."
तेन चोत्तमवीर्येण पीड्यमानः स पर्वतः।सलिलं सम्प्रसुस्राव मदं मत्त इव द्विपः।।5.1.14।।,"The mountain pressed hard under the feet of the valiant (Hanuman), discharged streams of water just as an elephant in rut would exude water of intoxication. "
पीड्यमानस्तु बलिना महेन्द्रस्तेन पर्वतः।रीतीर्निर्वर्तयामास काञ्चनाञ्जनराजतीः।।5.1.15।।,"Pressed by the powerful Hanuman, mount Mahendra let out streams of the hue of gold and silver (containing the ores of these minerals)৷৷ "
मुमोच च शिलाः शैलो विशालाः समनःशिलाः।मध्यमेनार्चिषा जुष्टा धूमराजीरिवानलः।।5.1.16।।,"The mountain threw down big boulders along with sulphur just like fire emits columns of smoke, surrounded by flames."
गिरिणा पीड्यमानेन पीड्यमानानि सर्वतः।गुहाविष्टानि भूतानि विनेदुर्विकृतैः स्वरैः।।5.1.17।।,"Squeezed on all sides of the mountain by Hanuman, all creatures living in the caves shrieked making horrible sounds ."
स महासत्त्वसन्नादः शैलपीडानिमित्तजः।पृथिवीं पूरयामास दिशश्चोपवनानि च।।5.1.18।।,"Due to the crushing of the mountain, a loud noise of the various creatures shot up filling the earth in all directions and groves around."
शिरोभिः पृथुभिः सर्पा व्यक्तस्वस्तिकलक्षणैः।वमन्तः पावकं घोरं ददंशुर्दशनैः शिलाः।।5.1.19।।, The snakes spread out their broad hoods manifesting swastika marks on them and bit the rocks with their fangs pouring out terrible fire.
तास्तदा सविषैर्दष्टाः कुपितैस्तैर्महाशिलाः।जज्ज्वलुः पावकोद्दीप्ता बिभिदुश्च सहस्रधा।।5.1.20।।,"Bitten by the venomous and angry snakes, the mountain was broken into a thousand pieces by the blazing flames."
यानि चौषधजालानि तस्मिन् जातानि पर्वते।विषघ्नान्यपि नागानां न शेकुः शमितुं विषम्।।5.1.21।।,Even the medicinal herbs grown on the mountain could not neutralize the effect of the poison of snakes.
भिद्यतेऽयं गिरिर्भूतैरिति मत्त्वा तपस्विनः।त्रस्ता विद्याधरास्तस्मादुत्पेतुः स्त्री गणैः सह।।5.1.22।।पानभूमिगतं हित्वा हैममासवभाजनम्।पात्राणि च महार्हाणि करकांश्च हिरण्मयान्।।5.1.23।लेह्यानुच्चावचान् भक्ष्यान् मांसानि विविधानि च।आर्षभाणि च चर्माणि खडगांश्च कनकत्सरून्।।5.1.24।।,"Even the ascetics left the place approaching that the mountain would be broken into pieces by creatures. The alarmed vidyadharas leaped into the sky along with groups of their women, leaving behind golden jugs of wine as well as precious utensils, big and small sizes, and golden goblets, cups in the drinking place, as well as many tasty eatables like licking food, chewing food and many types of meat. They also left bullhides and swords with golden sheaths. "
कृतकण्ठगुणाः क्षीबा रक्तमाल्यानुलेपनाः।रक्ताक्षाः पुष्कराक्षाश्च गगनं प्रतिपेदिरे।।5.1.25।।,"The intoxicated vidyadharas with eyes red like lotuses, wearing garlands around the neck and smeared with red sandalpaste flew into the sky."
हारनूपुरकेयूरपारिहार्यधराः स्त्रियः।विस्मिताः सस्मितास्तस्थुराकाशे रमणैः सह।।5.1.26।।,"Adorned with necklaces, anklets and armlets, the vidyadharis stayed wonderstruck in the sky, smiling gently in the company of their lovers."
दर्शयन्तो महाविद्यां विद्याधरमहर्षयः।सहितास्तस्थुराकाशे वीक्षाञ्चक्रुश्च पर्वतम्।।5.1.27।।,"The seers among the Vidyadharas, proficient in different fields of knowledge were also watching the mountain from the sky along with others."
शुश्रुवुश्च तदा शब्दमृषीणां भावितात्मनाम्।चारणानां च सिद्धानां स्थितानां विमलेऽम्बरे।।5.1.28।।,"Then the vidyadharas heard the words of praise(of Hanuman) by the sages, seekers of the ultimate truth, the charanas and the siddhas who stood and watched in the clear sky: "
एष पर्वतसङ्काशो हनुमान् मारुतात्मजः।तितीर्षति महावेगस्समुद्रं मकरालयम्।।5.1.29।।,"""Hanuman the son of the Windgod, who is like a mountain, with extraordinary might  intends to cross the ocean, the abode of crocodiles""."
रामार्थं वानरार्थं च चिकीर्षन् कर्म दुष्करम्।समुद्रस्य परं पारं दुष्प्रापं प्राप्तुमिच्छति।।5.1.30।।,"""For the sake of Rama and the vanaras he wants to reach the other shore of the ocean, which is difficult, and indeed impossible""."
इति विद्याधराः श्रुत्वा वचस्तेषां महात्मनाम्।तमप्रमेयं ददृशुः पर्वते वानरर्षभम्।।5.1.31।।,"The vidyadharas heard the sages speaking in that manner on the mountain. They beheld Hanuman, the bull among vanaras, whose strength  was beyond measure."
दुधुवे च स रोमाणि चकम्पे चाचलोपमः।ननाद सुमहानादं सुमहानिव तोयदः।।5.1.32।।,"Hanuman, huge as a mountain moved his body and shook the hair on his body, thundering like a cloud. "
आनुपूर्व्येण वृत्तं च लाङ्गूलं लोमभिश्चितम्।उत्पतिष्यन् विचिक्षेप पक्षिराज इवोरगम्।।5.1.33।।,"Like the king of birds Garuda would shake a serpent, he shook his tail covered with hair in order to take off."
तस्य लाङ्गूलमाविद्धमात्तवेगस्य पृष्ठतः।ददृशे गरुडेनेव ह्रियमाणो महोरगः।।5.1.34।।,Hanuman had the tail curled at his back which appeared like a big serpent being carried off by Garuda.
बाहू संस्तम्भयामास महापरिघसन्निभौ।ससाद च कपिः कट्यां चरणौ सञ्चुकोच च।।5.1.35।।,"The monkey fixed his arms, looking like iron clubs, firmly on the mountain and crouched his waist and contracted his feet."
संहृत्य च भुजौ श्रीमांस्तथैव च शिरोधराम्।तेजः सत्त्वं तथा वीर्यमाविवेश स वीर्यवान्।।5.1.36।।,"The glorious and courageous Hanuman his head and shoulders contracted, summoned up all his energy and vigour."
मार्गमालोकयन्दूरादूर्ध्वं प्रणिहितेक्षणः।रुरोध हृदये प्राणानाकाशमवलोकयन्।।5.1.37।।,"Having cast his eyes upward in order to view the distance and direction in which he had to leap, he restrained his breath in the chest while looking at the sky."
पद्भ्यां दृढमवस्थानं कृत्वा स कपिकुञ्जरः।निकुञ्च्य कर्णौ हनुमानुत्पतिष्यन् महाबलः।।वानरान् वानरश्रेष्ठ इदं वचनमब्रवीत्।।5.1.38।।,"A mighty elephant among vanaras, Hanuman holding his feet firmly and standing in that position, contracted his ears and addressed the monkeys, when he was about to leap:"
यथा राघवनिर्मुक्तः शरः श्वसनविक्रमः।गच्छेत्तद्वद्गमिष्यामि लङ्कां रावणपालिताम्।।5.1.39।।,"""Just like an arrow released by Raghava would fly, I too will proceed with the speed of the wind to reach Lanka ruled by Ravana."
न हि द्रक्ष्यामि यदि तां लङ्कायां जनकात्मजाम्।अनेनैव हि वेगेन गमिष्यामि सुरालयम्।।5.1.40।।,"""If I am not able to find the  daughter of Janaka at Lanka I will go to heaven, abode of the gods, with the same speed."
यदि वा त्रिदिवे सीतां न द्रक्ष्याम्यकृतश्रमः।बद्ध्वा राक्षसराजानमानयिष्यामि रावणम्।।5.1.41।।,"""If I do not find Sita in heaven in spite of my efforts, I will bind that king of demons, Ravana and bring him here."
सर्वथा कृतकार्योऽहमेष्यामि सह सीतया।आनयिष्यामि वा लङ्कां समुत्पाट्य सरावणाम्।।5.1.42।।,"""I will, by all means return successful with Sita or else I will uproot Lanka along with Ravana and bring him here""."
एवमुक्त्वा तु हनुमान्वानरान्वानरोत्तमः।।5.1.43।।उत्पपाताथ वेगेन वेगवानविचारयन्।सुपर्णमिव चात्मानं मेने स कपिकुञ्जरः।।5.1.44।।,"Having thus addressed the monkeys the foremost of vanaras,Hanuman endowed with great speed leaped without any exertion. The elephant among monkeys felt like Garuda."
समुत्पतति तस्मिंस्तु वेगात्ते नगरोहिणः।संहृत्य विटपान् सर्वान् समुत्पेतुः समन्ततः।।5.1.45।।,"When he took off, numerous trees on the mountain drawing together the branches all over flew along with him. "
स मत्तकोयष्टिमकान् पादपान् पुष्पशालिनः।उद्वहन्नूरुवेगेन जगाम विमलेऽम्बरे।।5.1.46।।," He swept away the lapwings in heat on the blossoms of the trees by the speed of his thighs while he coursed through the cloudless sky.	 "
ऊरुवेगोद्धता वृक्षा मुहूर्तं कपिमन्वयुः।प्रस्थितं दीर्घमध्वानं स्वबन्धुमिव बान्धवाः।।5.1.47।।,"Swept away by the force of his thighs, the trees bent forward following him for a while just as relatives accompany their kith and kin on long travel."
तमूरुवेगोन्मथिताः सालाश्चान्ये नगोत्तमाः।अनुजग्मुर्हनूमन्तं सैन्या इव महीपतिम्।।5.1.48।।,"Uprooted by the force of Hanuman's thighs,great trees like  sala followed him just like the troops follow the king."
सुपुष्पिताग्रैर्बहुभिः पादपैरन्वितः कपिः।हनुमान् पर्वताकारो बभूवाद्भुतदर्शनः।।5.1.49।।,"With numerous trees laden with flowers following him, Hanuman who looked like a mountain, presented a queer spectable."
सारवन्तोऽथ ये वृक्षा न्यमज्जन् लवणाम्भसि।भयादिव महेन्द्रस्य पर्वता वरुणालये।।5.1.50।।,"Then the huge trees sank into the ocean of salt water even as mountains did, afraid of Indra's (thunderbolt)."
स नानाकुसुमैः कीर्णः कपिः साङ्कुरकोरकैः।शुशुभे मेघसङ्काशः खद्योतैरिव पर्वतः।।5.1.51।।,Covered with tender sprouts and buds of different kinds of flowers Hanuman shone brightly like a flying mountain with fireflies.
विमुक्तास्तस्य वेगेन मुक्त्वा पुष्पाणि ते द्रुमाः।अवशीर्यन्त सलिले निवृत्ताः सुहृदो यथा।।5.1.52।।,Shedding their blossoms (under his thrust) the trees dropped into the waters of the sea just like close relatives follow at the time of farewell.
लघुत्वेनोपपन्नं तद्विचित्रं सागरेऽपतत्।द्रुमाणां विविधं पुष्पं कपिवायुसमीरितम्।।5.1.53।।ताराचितमिवाकाशं प्रबभौ स महार्णवः।,Driven by the wind caused by Hanuman's speed a variety of flowers fell into the ocean because of their light weight and the ocean looked colourful and bright like the starspangled sky.
पुष्पौघेणानुबद्धेन नानावर्णेन वानरः।बभौ मेघ इवाकाशे विद्युद्गण विभूषितः।।5.1.54।।,"Covered with blossoms of different kinds and colours, Hanuman looked like a cloud brightened by lightnings in the sky."
तस्य वेगसमाधूतैः पुष्पैस्तोयमदृश्यत।।5.1.55।।ताराभिरभिरामाभिरुदिताभिरिवाम्बरम्।,The seawater looked splendid with flowers dropped by dint of his speed. It  resembled the firmament spangled with enchanting stars just risen in the sky.
तस्याम्बरगतौ बाहू ददृशाते प्रसारितौ।।5.1.56।।पर्वताग्राद्विनिष्क्रान्तौ पञ्चास्याविव पन्नगौ।,That great Vanara appeared as if he was gulping the entire ocean with its rising waves. While he was looking upward it appeared as though he was keen to drink in the sea as well. 
पिबन्निव बभौ चापि सोर्मिमालं महार्णवम्।।5.1.57।।पिपासुरिव चाकाशं ददृशे स महाकपिः।,"While he was looking upward, that great vanara appeared as if, parched with thirst, he was gulping the entire ocean with its rising waves."
तस्य विद्युत्प्रभाकारे वायुमार्गानुसारिणः।।5.1.58।।नयने विप्रकाशेते पर्वतस्थाविवानलौ।,"As he was moving in the sky following the direction of the wind, his eyes blazed like two fires burning on the mountain, flashing like lightning."
पिङ्गे पिङ्गाक्षमुख्यस्य बृहती परिमण्डले।।5.1.59।।चक्षुषी सम्प्राकाशेते चन्द्रसूर्याविवोदितौ।,"The large, round, reddishbrown eyes of Hanuman shed their bright light like the rising Moon and Sun."
मुखं नासिकया तस्य ताम्रया ताम्रमाबभौ।।5.1.60।।सन्ध्यया समभिस्पृष्टं यथा तत्सूर्यमण्डलम्।,"By the reflection of his copperyred nose, his face looked red like the Sun's orb coming close at twilight."
लाङ्गूलं च समाविद्धं प्लवमानस्य शोभते।।5.1.61।।अम्बरे वायुपुत्रस्य शक्रध्वज इवोच्छ्रितम्।,"As the son of the Windgod was flying through the sky, his coiled up tail looked splendid like the banner installed at the festival in honour of Indra (on the fifteenth day of the month of Bhadrapada)."
लाङ्गूलचक्रेण महान् शुक्लदंष्ट्रोऽनिलात्मजः।।5.1.62।।व्यरोचत महाप्राज्ञः परिवेषीव भास्करः।,"With his white teeth and curled up tail, the wise son of the Windgod looked splendid like the halo of the Sungod."
स्फिग्देशेनाभिताम्रेण रराज स महाकपिः।।5.1.63।।महता दारितेनेव गिरिर्गैरिकधातुना।,The great monkey with copperred buttocks (other parts being dark) looked splendid like a cleft mountain with a huge deposit of minerals shining red.
तस्य वानरसिंहस्य प्लवमानस्य सागरम्।।5.1.64।।कक्षान्तरगतो वायुर्जीमूत इव गर्जति।,The wind passing through the arm pits of the lionlike vanara crossing the ocean sounded like a thundering cloud.
खे यथा निपतत्युल्का ह्युत्तरान्ताद्विनिःसृता।।5.1.65।।दृश्यते सानुबन्धा च तथा स कपिकुञ्जरः।,The elephantlike monkey was seen darting across the ocean(going from north to south) like a meteor risen in the north  along with its tailend falling down the sky.
पतत्पतङ्गसङ्काशो व्यायतः शुशुभे कपिः।।5.1.66।।प्रवृद्ध इव मातङ्गः कक्ष्यया बध्यमानया।,The vanara expanded into an enormous size form appeared as though moving like the setting Sun. He looked like a huge elephant bound round the waist.
उपरिष्टाच्छरीरेण छायया चावगाढया।।5.1.67।।सागरे मारुताविष्टा नौरिवासीत्तदा कपिः।,"When the vanara was flying in the sky, his shadow reflected in the ocean looked like a ship driven by the wind and sailing on the sea below (as if the lower part of his body was under water and upper part occupied the sky)"
यं यं देशं समुद्रस्य जगाम स महाकपिः।स स तस्योरुवेगेन सोन्माद इव लक्ष्यते।।5.1.68।।,"Whichever part of the sea over which that monkey flew, it appeared as though it was riotous with eddies, whirlpools and revolving foam etc., stirred up by the speed of his thighs."
सागरस्योर्मिजालानामुरसा शैलवर्ष्मणाम्।अभिघ्नंस्तु महावेगः पुप्लुवे स महाकपिः।।5.1.69।।,"As the great vanara was flying swiftly, the oceanic waves in rows dashing against his chest rose as high as the  mountain."
कपिवातश्च बलवान् मेघवातश्च निःसृतः।सागरं भीमनिर्घोषं कम्पयामासतुर्भृशम्।।5.1.70।।,"The forceful wind generated by the monkey moving swiftly, and by the clouds agitated the ocean violently, creating dreadful sounds."
विकर्षन्नूर्मिजालानि बृहन्ति लवणाम्भसि।पुप्लुवे कपिशार्दूलो विकिरन्निव रोदसी।।5.1.71।।,"As the tiger among the monkeys pushed the big network of waves of the saltwater ocean and leaped forward, it appeared as if  he was drawing the intermediary space dividing the earth and the sky."
मेरुमन्दरसङ्काशानुद्धतान् स महार्णवे।अत्यक्रामन्महावेगस्तरङ्गान् गणयन्निव।।5.1.72।।,Hanuman moving along in high speed looked as if he was counting the mighty waves risen ike Meru and Mandara mountains.
तस्य वेगसमुद्धूतं जलं सजलदं तदा।अम्बरस्थं विबभ्राज शारदाभ्रमिवाततम्।।5.1.73।।,Then the water raised by his onrush along with the cloud widely spread in the sky shone like an outstreched autumnal cloud.
तिमिनक्रझषाः कूर्मा दृश्यन्ते विवृतास्तदा।वस्त्रापकर्षणेनेव शरीराणि शरीरिणाम्।।5.1.74।।,"On account of the seawater rising up,  the whales, crocodiles, fish and tortoises laid bare like the limbs of the body disrobed."
प्लवमानं समीक्ष्याथ भुजङ्गाः सागरालयाः।व्योम्नि तं कपिशार्दूलं सुपर्ण इति मेनिरे।।5.1.75।।,"Seeing Hanuman, the tiger among vanaras, coursing through the sky the serpents in their seaabode mistook him for Garuda."
दशयोजनविस्तीर्णा त्रिंशद्योजनमायता।छाया वानरसिंहस्य जले चारुतराभवत्।।5.1.76।।,"The shadow of Hanuman, the lion among monkeys, thirty yojanas long and ten yojanas in breadth appeared more pleasing৷৷"
श्वेताभ्रघनराजीव वायुपुत्रानुगामिनी।तस्य सा शुशुभे छाया वितता लवणाम्भसि।।5.1.77।।,The broad shadow of the son of the Windgod in the sea following him shone like a dark row of clouds sailing in the pristine sky.
शुशुभे स महातेजा महाकायो महाकपिः।वायुमार्गे निरालम्बे पक्षवानिव पर्वतः।।5.1.78।।,"Hanuman the great vanara, splendid with a huge body coursing through the air seemed like a winged mountain flying the sky without any support."
येनासौ याति बलवान् वेगेन कपिकुञ्जरः।तेन मार्गेण सहसा द्रोणीकृत इवार्णवः।।5.1.79।।,"As the powerful monkey, an elephant among vanaras, was proceeding swiftly along, the ocean got instantly transformed into a trough on account of water swelling by the force of his flight. "
आपाते पक्षिसङ्घानां पक्षिराज इव व्रजन्।हनुमान् मेघजालानि प्रकर्षन् मारुतो यथा।।5.1.80।।,"Hanuman was found pulling clusters of big clouds along with him like the Windgod and appeared like Garuda,the king of birds, drawing flocks of birds along with him at the time of landing."
पाण्डुरारुणवर्णानि नीलमाञ्जिष्ठकानि च।कपिनाकृष्यमाणानि महाभ्राणि चकाशिरे।।5.1.81।।,"While Hanuman was drawing big clouds which were either white or red or blue or yellow, he looked charming."
प्रविशन्नभ्रजालानि निष्पतंश्च पुनः पुनः।प्रच्छन्नश्च प्रकाशश्च चन्द्रमा इव लक्ष्यते।।5.1.82।।," Entering into and emerging from the clouds, he looked like the Moon that appears and disappears (behind a bank of clouds)."
प्लवमानं तु तं दृष्ट्वा प्लवङ्गं त्वरितं तदा।ववर्षुः पुष्पवर्षाणि देवगन्धर्वदानवाः।।5.1.83।।,"Then seeing Hanuman crossing quickly, the gods, gandharvas and demons rained flowers on him."
तताप न हि तं सूर्यः प्लवन्तं वानरोत्तमम्।सिषेवे च तदा वायू रामकार्यार्थसिद्धये।।5.1.84।।,"The Sun spared Hanuman from the heat and even the Windgod served him, blowing cool while he was taking leaps in order to fulfil Rama's mission."
ऋषयस्तुष्टुवुश्चैनं प्लवमानं विहायसा।जगुश्च देवगन्धर्वाः प्रशंसन्तो महौजसम्।।5.1.85।।,"The sages praised him while he was coursing through the sky, the gods and gandharvas sang in praise of him extolling his majesty and vigour."
नागाश्च तुष्टुवुर्यक्षा रक्षांसि विबुधाः खगाः।प्रेक्ष्य सर्वे कपिवरं सहसा विगतक्लमम्।।5.1.86।।,"Observing the unwearied monkey the nagas, yakshas, the demons (protecting the southwest), the learned sages and birds praised him."
तस्मिन् प्लवगशार्दूले प्लवमाने हनूमति।इक्ष्वाकुकुलमानार्थी चिन्तयामास सागरः।।5.1.87।।,While the monkeychief was leaping (across the sea) the Seagod wished the wellbeing of the Ikshvaku family and honoured him. (The Seagod belonged to the same race) :
साहाय्यं वानरेन्द्रस्य यदि नाहं हनूमत:।करिष्यामि भविष्यामि सर्ववाच्यो विवक्षताम्।।5.1.88।।,"'If I fail to help the monkeychief, the wise will blame me'."
अहमिक्ष्वाकुनाथेन सगरेण विवर्धितः।इक्ष्वाकुसचिवश्चायं नावसीदितुमर्हति।।5.1.89।।,'I expanded on account of a scion of the Ikshvaku race (Sagara) and I should not do anything to make him (Hanuman) suffer since he is the minister helping the Ikshvaku race'.
तथा मया विधातव्यं विश्रमेत यथा कपिः।।5.1.90।।शेषं च मयि विश्रान्तः सुखेनातिपतिष्यति।,'I will have to make arrangements for his rest. Later he can resume his journey comfortably'.
इति कृत्वा मतिं साध्वींसमुद्र श्छन्नमम्भसि।।5.1.91।।हिरण्यनाभं मैनाकमुवाच गिरिसत्तमम्।,"Having resolved in his mind, the Seagod addressed the noble, golden mount Mainaka, hidden in the sea:"
त्वमिहासुरसंघानां पातालतलवासिनाम्।।5.1.92।।देवराज्ञा गिरिश्रेष्ठ परिघः सन्निवेशितः।,"'O foremost mountain you are kept here by Indra, lord of the gods as a barrier against the intrusion of demons residing in the netherworld."
त्वमेषां जातवीर्याणां पुनरेवोत्पतिष्यताम्।।5.1.93।।पातालस्याप्रमेयस्य द्वारमावृत्य तिष्ठसि।,"""You are staying at the entrance preventing the violent demons of the immeasurable nether world from jumping onto the surface."
तिर्यगूर्ध्वमधश्चैव शक्तिस्ते शैल वर्धितुम्।।5.1.94।।तस्मात्संचोदयामि त्वामुत्तिष्ठ गिरिसत्तम।,"""O noble mountain you have the capacity to grow across, upward and downward by your free will. I therefore prompt you to grow."
स एष कपिशार्दूलस्त्वामुपर्येति वीर्यवान्।।5.1.95।।हनूमान्रामकार्यार्थं भीमकर्मा खमाप्लुतः।,"""Valiant Hanuman, a tiger among monkeys and a performer of dreadful deeds, is  flying over you to fulfil Rama's mission "
अस्य साह्यं मया कार्यमिक्ष्वाकुकुलवर्तिनः।।5.1.96।।मम हीक्ष्वाकवः पूज्याः परं पूज्यतमास्तव।,"""I should help him for he is working for the welfare of the Ikshavaku family. The Ikshvaku kings are worthy of adoration to me and for you as well."
कुरु साचिव्यमस्माकं न नः कार्यमतिक्रमेत्।।5.1.97।।कर्तव्यमकृतं कार्यं सतां मन्युमुदीरयेत्।,"""You may act as our minister and let us not miss this chance. Pious men lose their cool if a worthy act is left unfulfilled."
सलिलादूर्ध्वमुत्तिष्ठ तिष्ठत्वेष कपिस्त्वयि।।5.1.98।।अस्माकमतिथिश्चैव पूज्यश्च प्लवतां वरः।,"""Rise up from the waters. Let him rest on you since this noble monkey is our guest and worthy of worship."
चामीकरमहानाभ देवगन्धर्वसेवित।।5.1.99।।हनुमांस्त्वयि विश्रान्तस्ततः शेषं गमिष्यति।,"""O goldenpeaked mountainyou are the refuge of the gods and gandharvas. Let him also rest on you for a while before he negotiates the remaining part of the journey."
काकुत्स्थस्यानृशंस्यं च मैथिल्याश्च विवासनम्।।5.1.100।।श्रमं च प्लवगेन्द्रस्य समीक्ष्योत्थातुमर्हसि।,"""You ought to rise up if you consider the nobility of the scion of the Kakusthas, the deportation of Mythili, and the exertion put forth by Hanuman, the lord of monkeys""."
हिरण्यनाभो मैनाको निशम्य लवणाम्भसः।।5.1.101।।उत्पपात जलात्तूर्णं महाद्रुमलतायुतः।,"Hearing the command of the god of the ocean, mount Mainaka, rich in gold and covered with trees and creepers rose up at once from the water."
स सागरजलं भित्त्वा बभूवाभ्युत्थितस्तदा।।5.1.102।।यथा जलधरं भित्त्वा दीप्तरश्मिर्दिवाकरः।,"Just as the rising Sun comes out with glowing rays tearing the veil of dark clouds, the mountain rose up from the water of the ocean."
स महात्मा मुहूर्तेन सर्वतः सलिलावृतः।।5.1.103।।दर्शयामास शृङ्गाणि सागरेण नियोजितः।आदित्योदयसङ्काशैरालिखद्भिरिवाम्बरम्।शातकुम्भमयैः शृङ्गैः सकिन्नरमहोरगैः।।5.1.104।।,"At the instance of Varuna, (the presiding deity of the ocean) the lofty mountain appeared, projecting its peaks, hitherto submerged in the water. The golden peaks inhabited by nagas and kinnaras resemmbled the rising Sun as though scraping the sky in a moment."
तप्तजाम्बूनदैः शृङ्गैः पर्वतस्य समुत्थितैः।।5.1.105।।आकाशं शस्त्रसङ्काशमभवत्काञ्चनप्रभम्।,The sky shone like barnished weapons smeared with the golden colour of the  mountain peaks that rose up above the water.
जातरूपमयैः शृङ्गैर्भ्राजमानैः स्वयंप्रभैः।।5.1.106।।आदित्यशतसङ्काशः सोऽभवद्गिरिसत्तमः।,"The noble mountain, Mainaka was glittering  like a thousand Suns with selfeffulgent golden peaks shining."
तमुत्थितमसङ्गेन हनुमानग्रतः स्थितम्।।5.1.107।।मध्ये लवणतोयस्य विघ्नोऽयमिति निश्चितः।,Hanuman considered the mountain rising up in the midst of the ocean and standing in front an impediment.
स तमुच्छ्र्रतमत्यर्थं महावेगो महाकपिः।।5.1.108।।उरसा पातयामास जीमूतमिव मारुतः।,"The great vanara,who was swift in action felled down the mountain that had risen high instantly with his chest just as the wind would strike a cloud."
स तथा पातितस्तेन कपिना पर्वतोत्तमः।।5.1.109।।बुद्ध्वा तस्य कपेर्वेगं जहर्ष च ननन्द च।,"Felled by the vanara's speed, the tall mountain overwhelmed with joy roared in high pitch."
तमाकाशगतं वीरमाकाशे समुपस्थितः।।5.1.110।।प्रीतो हृष्टमाना वाक्यमब्रवीत्पर्वतः कपिम्।मानुषं धारयन् रूपमात्मनः शिखरे स्थितः।।5.1.111।।,"Now the mountain assumed a human form  and standing on its own summit, which stood very high, and glad at heart, addressed the heroic vanara gone to the aerial region."
दुष्करं कृतवान्कर्म त्वमिदं वानरोत्तम।निपत्य मम शृङ्गेषु विश्रमस्व यथासुखम्।।5.1.112।।,"""O best of vanaras you have achieved a formidable deed. Alighting on my peak and comfortably resting awhile, you may resume your journey."
राघवस्य कुले जातैरुदधिः परिवर्धितः।स त्वां रामहिते युक्तं प्रत्यर्चयति सागरः।।5.1.113।।,"""The son of Rama's family, Sagara, has extended the ocean in the past.It is most appropriate that he (the god of the sea) honours you in return as you have set out in the service of Rama."
कृते च प्रतिकर्तव्यमेष धर्मः सनातनः।सोऽयं त्वत्प्रतिकारार्थी त्वत्तः सम्मानमर्हति।।5.1.114।।,
